No comment  (13 February 2023   12:53:04)
  Wave    Wawenumber        Graph1 Graph2 Graph3 Graph4 Graph5
 300.00000 33333.33 -100.00 -100.00 -100.00 -100.00 -100.00
 300.26731 33303.66  129.14 165.08 177.39 109.67 113.89
 300.53461 33274.04  118.89 124.06 222.51 190.63  94.40
 300.80192 33244.47 -100.00 -100.00 -90.55 -100.00 -100.00
 301.06923 33214.95  -57.39 -36.26  15.61 -64.85 -86.19
 301.33653 33185.49  -83.50 -67.27  -9.40 -95.17 -100.00
 301.60384 33156.08 -100.00 -100.00 -50.81 -100.00 -100.00
 301.87114 33126.72 -100.00 -100.00 -59.56 -100.00 -100.00
 302.13845 33097.41 -100.00 -100.00 -70.27 -100.00 -100.00
 302.40576 33068.15  -75.61 -89.12 -47.91 -100.00 -100.00
 302.67306 33038.95  -79.91 -94.79 -57.22 -100.00 -100.00
 302.94037 33009.80 -100.00 -100.00 -96.67 -100.00 -100.00
 303.20768 32980.70 -100.00 -100.00 -100.00 -100.00 -100.00
 303.47498 32951.65 -100.00 -100.00 -100.00 -100.00 -100.00
 303.74229 32922.65 -100.00 -100.00 -100.00 -100.00 -100.00
 304.00960 32893.70 -100.00 -100.00 -100.00 -100.00 -100.00
 304.27690 32864.80 -100.00 -100.00 -100.00 -100.00 -100.00
 304.54421 32835.96 -100.00 -100.00 -100.00 -100.00 -100.00
 304.81151 32807.16 -100.00 -100.00 -100.00 -100.00 -100.00
 305.07882 32778.41 -100.00 -100.00 -100.00 -100.00 -100.00
 305.34613 32749.72 -100.00 -100.00 -99.15 -100.00 -100.00
 305.61343 32721.07 -100.00 -100.00 -80.72 -100.00 -100.00
 305.88074 32692.48 -100.00 -100.00 -72.01 -100.00 -100.00
 306.14805 32663.94 -100.00 -90.77 -26.12 -91.05 -100.00
 306.41535 32635.44 -100.00 -81.54 -17.89 -82.42 -100.00
 306.68266 32607.00  -95.43 -76.56 -21.36 -84.56 -100.00
 306.94997 32578.60  -53.29 -36.34  11.88 -43.22 -74.56
 307.21727 32550.25  -51.27 -47.85  -1.40 -45.04 -73.99
 307.48458 32521.96  -75.96 -82.20 -36.97 -73.65 -94.08
 307.75188 32493.71 -100.00 -100.00 -76.36 -100.00 -100.00
 308.01919 32465.51 -100.00 -100.00 -100.00 -100.00 -100.00
 308.28650 32437.36 -100.00 -100.00 -100.00 -100.00 -100.00
 308.55380 32409.26 -100.00 -100.00 -100.00 -100.00 -100.00
 308.82111 32381.21 -100.00 -100.00 -100.00 -100.00 -100.00
 309.08842 32353.20 -100.00 -100.00 -100.00 -100.00 -100.00
 309.35572 32325.25 -100.00 -100.00 -100.00 -100.00 -100.00
 309.62303 32297.34 -100.00 -100.00 -100.00 -100.00 -100.00
 309.89034 32269.48 -100.00 -100.00 -100.00 -100.00 -100.00
 310.15764 32241.67 -100.00 -100.00 -100.00 -100.00 -100.00
 310.42495 32213.91 -100.00 -100.00 -100.00 -100.00 -100.00
 310.69225 32186.19 -100.00 -100.00 -100.00 -100.00 -100.00
 310.95956 32158.52 -100.00 -100.00 -100.00 -100.00 -100.00
 311.22687 32130.90 -100.00 -100.00 -100.00 -100.00 -100.00
 311.49417 32103.33 -100.00 -100.00 -100.00 -79.23 -100.00
 311.76148 32075.80  -20.07 -11.91 -16.01  18.25 -30.50
 312.02879 32048.33   54.52  65.79  66.94  90.39  49.42
 312.29609 32020.89   27.96  40.36  40.25  62.43  22.86
 312.56340 31993.51  -23.03 -10.45  -4.87  11.53 -24.28
 312.83071 31966.17  -14.75 -13.10   6.24  14.12 -14.93
 313.09801 31938.88    2.33  -7.41  28.08  30.35   4.62
 313.36532 31911.64  -38.29 -65.05  -9.20 -11.76 -22.29
 313.63263 31884.44  -40.71 -88.15 -17.18 -17.54 -16.96
 313.89993 31857.29   12.75 -57.39  33.58  25.00  42.89
 314.16724 31830.18   40.03 -56.02  48.25  36.36  63.24
 314.43454 31803.12   22.18 -93.50  11.22   1.28  32.18
 314.70185 31776.11  -34.59 -100.00 -55.54 -69.04 -35.97
 314.96916 31749.14  -64.03 -100.00 -94.93 -100.00 -82.57
 315.23646 31722.22 -100.00 -100.00 -100.00 -100.00 -100.00
 315.50377 31695.34 -100.00 -100.00 -100.00 -100.00 -100.00
 315.77108 31668.51 -100.00 -100.00 -100.00 -100.00 -100.00
 316.03838 31641.73 -100.00 -100.00 -100.00 -100.00 -100.00
 316.30569 31614.99 -100.00 -100.00 -100.00 -100.00 -100.00
 316.57300 31588.29 -100.00 -100.00 -100.00 -100.00 -100.00
 316.84030 31561.64 -100.00 -100.00 -100.00 -100.00 -100.00
 317.10761 31535.04 -100.00 -100.00 -100.00 -100.00 -100.00
 317.37491 31508.48 -100.00 -100.00 -100.00 -100.00 -100.00
 317.64222 31481.96 -100.00 -100.00 -100.00 -100.00 -100.00
 317.90953 31455.49 -100.00 -100.00 -100.00 -100.00 -100.00
 318.17683 31429.06 -100.00 -100.00 -100.00 -100.00 -100.00
 318.44414 31402.68 -100.00 -100.00 -100.00 -100.00 -100.00
 318.71145 31376.34 -100.00 -100.00 -100.00 -100.00 -100.00
 318.97875 31350.05 -100.00 -100.00 -100.00 -100.00 -100.00
 319.24606 31323.80 -100.00 -100.00 -100.00 -100.00 -100.00
 319.51337 31297.60 -100.00 -100.00 -100.00 -100.00 -100.00
 319.78067 31271.43 -100.00 -100.00 -100.00 -100.00 -100.00
 320.04798 31245.32 -100.00 -100.00 -100.00 -100.00 -100.00
 320.31528 31219.24 -100.00 -100.00 -100.00 -100.00 -100.00
 320.58259 31193.21 -100.00 -100.00 -100.00 -100.00 -100.00
 320.84990 31167.22 -100.00 -100.00 -100.00 -100.00 -100.00
 321.11720 31141.28 -100.00 -100.00 -100.00 -100.00 -100.00
 321.38451 31115.38 -100.00 -100.00 -100.00 -100.00 -100.00
